timestamp,hourly average,usage,hour,year,month,week,weekday,usage_scaled
2024-02-03 11:00:00,19904123.5,0.1835,11,2024,2,5,5,0.0050759689522202845
2024-02-03 12:00:00,19904328.4,0.2048999999985098,12,2024,2,5,5,0.005667934813636906
2024-02-03 13:00:00,19904565.0,0.2366000000014901,13,2024,2,5,5,0.006544818823448954
2024-02-03 14:00:00,19904776.5,0.2115,14,2024,2,5,5,0.0058505037242212
2024-02-03 15:00:00,19904990.166666668,0.2136666666679084,15,2024,2,5,5,0.005910437962565144
2024-02-03 16:00:00,19905190.8,0.2006333333328366,16,2024,2,5,5,0.005549910467454723
2024-02-03 17:00:00,19905423.6,0.232800000000745,17,2024,2,5,5,0.006439703390085362
2024-02-03 18:00:00,19905655.8,0.2321999999992549,18,2024,2,5,5,0.006423106216358409
2024-02-03 19:00:00,19905862.166666668,0.2063666666671633,19,2024,2,5,5,0.005708505682701437
2024-02-03 20:00:00,19906043.25,0.1810833333320915,20,2024,2,5,5,0.005009119224840617
2024-02-03 21:00:00,19906308.8,0.2655500000007451,21,2024,2,5,5,0.007345632453765007
2024-02-03 22:00:00,19906515.25,0.2064499999992549,22,2024,2,5,5,0.005710810845678996
2024-02-03 23:00:00,19906751.5,0.23625,23,2024,2,5,5,0.006535137138757724
2024-02-04 00:00:00,19906952.0,0.2005,0,2024,2,5,6,0.005546222206649413
2024-02-04 01:00:00,19907208.0,0.256,1,2024,2,5,6,0.007081460772579798
2024-02-04 02:00:00,19907389.25,0.18125,2,2024,2,5,6,0.005013729550898783
2024-02-04 03:00:00,19907610.8,0.221550000000745,3,2024,2,5,6,0.006128506383477852
2024-02-04 04:00:00,19907853.0,0.2421999999992549,4,2024,2,5,6,0.006699725777787308
2024-02-04 05:00:00,19908071.25,0.21825,5,2024,2,5,6,0.006037221928185707
2024-02-04 06:00:00,19908292.75,0.2215,6,2024,2,5,6,0.006127123285650099
2024-02-04 07:00:00,19908482.0,0.18925,7,2024,2,5,6,0.005235025200041901
2024-02-04 08:00:00,19908682.6,0.2006000000014901,8,2024,2,5,6,0.00554898840230492
2024-02-04 09:00:00,19908906.25,0.2236499999985098,9,2024,2,5,6,0.00618659649131609
2024-02-04 10:00:00,19909127.5,0.22125,10,2024,2,5,6,0.006120207796614377
2024-02-04 11:00:00,19909383.5,0.256,11,2024,2,5,6,0.007081460772579798
2024-02-04 12:00:00,19909585.0,0.2015,12,2024,2,5,6,0.0055738841627923025
